StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,OS marks,DBMS marks,ML marks,Python marks,OS GPA,DBMS GPA,ML GPA,Python GPA,Overall GPA
1001,17,1,0,2,19.8337228078547,7,1,2,0,0,1,0,2.92919559166768,2,88,91,50,73,3,4,0,2,2.25
1002,18,0,0,1,15.4087560558467,0,0,1,0,0,0,0,3.04291483343637,1,78,91,68,60,2,4,1,1,2
1003,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,0.112602254466181,4,64,85,75,75,1,3,2,2,2
1004,17,1,0,3,10.0288294739582,14,0,3,1,0,0,0,2.05421813970294,3,92,69,74,83,4,1,2,3,2.5
1005,17,1,0,2,4.67249527297133,17,1,3,0,0,0,0,1.28806118179538,4,57,53,59,77,0,0,0,2,0.5
1006,18,0,0,1,8.19121854525018,0,0,1,1,0,0,0,3.08418361448639,1,70,56,64,52,2,0,1,0,0.75
1007,15,0,1,1,15.6016804746992,10,0,3,0,1,0,0,2.74823741489158,2,88,50,71,60,3,0,2,1,1.5
1008,15,1,1,4,15.424496305808,22,1,1,1,0,0,0,1.36014271231646,4,68,93,97,87,1,4,4,3,3
1009,17,0,0,0,4.5620075580477,1,0,2,0,1,0,1,2.89681918951356,2,72,94,70,63,2,4,2,1,2.25
1010,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,3.57347421032976,0,60,91,71,75,1,4,2,2,2.25
1011,17,0,0,1,11.8513636552965,11,0,1,0,0,0,0,2.14717162501851,3,60,96,85,97,1,4,3,4,3
1012,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,1.55959451904027,4,73,62,83,70,2,1,3,2,2
1013,17,0,1,1,10.0387116156172,21,0,3,1,0,0,0,1.5200778148748,4,85,71,79,88,3,2,2,3,2.5
1014,17,0,1,2,12.1014250687548,21,0,4,0,1,0,0,1.75158095833407,4,89,70,74,79,3,2,2,2,2.25
1015,18,1,0,1,11.1978106369157,9,1,2,0,0,0,0,2.39678811712479,3,73,71,94,57,2,2,4,0,2
1016,15,0,0,2,9.72810071072356,17,1,0,0,1,0,0,1.34152071653466,4,52,77,77,69,0,2,2,1,1.25
1017,18,0,3,1,10.098656081788,14,0,2,1,1,0,0,2.23217527771597,3,71,58,50,97,2,0,0,4,1.5
1018,18,1,0,0,3.52823820855772,16,1,2,0,0,0,0,1.38440417569403,4,51,75,98,81,0,2,4,3,2.25
1019,18,0,1,3,16.2546580860935,29,0,2,1,0,0,1,0.46955332337987,4,73,58,94,71,2,0,4,2,2
1020,17,0,0,1,10.8352063988203,9,0,2,0,0,1,0,2.3957840945307,3,93,64,53,56,4,1,0,0,1.25
1021,16,1,0,3,2.62159723409406,2,0,3,0,0,0,1,2.77841129992065,2,79,59,56,58,2,0,0,0,0.5
1022,15,0,0,2,15.3231420316555,25,0,1,1,0,0,0,0.346894036705014,4,87,73,98,94,3,2,4,4,3.25
1023,16,1,1,0,18.648879567547,29,1,1,0,0,0,0,0.312546230525354,4,51,91,58,50,0,4,0,0,1
1024,18,1,3,4,18.9461379847392,20,0,2,1,0,0,0,1.77013187677997,4,70,57,85,78,2,0,3,2,1.75
1025,18,1,0,1,7.38035464822345,15,0,2,0,0,0,0,1.50515562203628,4,82,73,68,57,3,2,1,0,1.5
1026,16,1,0,3,2.71033747121508,5,0,4,0,0,1,0,2.97785191831574,2,61,65,50,53,1,1,0,0,0.5
1027,16,0,0,1,10.3679925326613,2,0,2,0,1,0,0,2.94871767191192,2,71,98,59,84,2,4,0,3,2.25
1028,16,1,0,3,2.25218458698441,8,0,3,0,0,1,0,2.14520472046719,3,93,75,85,52,4,2,3,0,2.25
1029,18,0,0,0,18.6797483702523,10,0,3,1,0,0,0,2.85480392898131,2,74,76,58,94,2,2,0,4,2
1030,18,0,0,2,3.67159254710292,20,0,3,1,0,0,0,1.51944172581513,4,98,86,94,89,4,3,4,3,3.5
1031,15,0,2,2,5.05531719902328,12,1,0,0,1,0,0,1.7271203095224,4,76,53,95,56,2,0,4,0,1.5
1032,15,0,0,3,8.1327305376994,17,0,4,0,0,0,1,1.84753547113879,4,91,99,91,76,4,4,4,2,3.5
1033,18,0,0,3,7.66328937118251,25,0,1,0,1,0,0,0.384616972856487,4,77,73,81,50,2,2,3,0,1.75
1034,16,0,3,3,15.8932578479577,21,0,0,1,1,0,0,0.94940609779728,4,65,68,81,76,1,1,3,2,1.75
1035,16,0,0,3,9.12633641101924,27,1,2,1,1,0,0,1.14095941842033,4,64,85,55,65,1,3,0,1,1.25
1036,15,0,3,1,3.41536520006673,23,0,1,0,0,0,0,0.261472260050752,4,96,88,97,87,4,3,4,3,3.5
1037,18,0,0,1,5.34419790972148,26,1,1,0,0,0,0,0.218284856821031,4,93,59,87,56,4,0,3,0,1.75
1038,15,0,2,1,10.1822677037504,21,1,1,0,1,0,0,1.06776355104197,4,52,74,66,93,0,2,1,4,1.75
1039,15,1,1,1,2.94907834852269,3,1,1,1,1,0,0,3.01890585842796,1,86,67,59,72,3,1,0,2,1.5
1040,17,1,2,1,12.2331135129202,21,1,3,1,1,0,0,1.52686783179272,4,56,68,99,90,0,1,4,4,2.25
1041,17,1,3,2,11.3149461310229,23,1,1,0,0,0,0,1.05828739968986,4,70,85,76,60,2,3,2,1,2
1042,17,0,0,1,14.2940463276451,7,0,2,0,0,0,0,2.62512809773223,2,58,59,99,91,0,0,4,4,2
1043,16,1,3,2,18.7540923075873,12,1,4,0,0,0,0,2.80875482202865,2,88,82,84,82,3,3,3,3,3
1044,18,1,0,1,18.2450912220231,9,0,2,0,1,0,0,2.88889166927244,2,67,99,70,99,1,4,2,4,2.75
1045,18,1,0,1,18.9215123613766,1,1,3,1,1,0,0,4,0,53,54,74,85,0,0,2,3,1.25
1046,18,0,0,2,4.89431194047401,7,0,4,0,0,1,0,2.51530027225624,2,74,96,77,86,2,4,2,3,2.75
1047,18,0,1,2,2.63130613278709,5,0,1,1,0,0,0,2.56376543001509,2,63,98,96,90,1,4,4,4,3.25
